apogeeAltitude,apogeeX,apogeeY,impactX,impactY,impactVelocity,deploymentWind
32468.072560619916,4700.62573281995,-8521.88475483086,1786.3973037475655,-12482.161234729401,-20.211169523284664,121.54933605741338
39412.77221248612,7906.3854425703785,-17336.363489706502,4123.237973654497,-22944.41920569261,-20.45820727457522,215.8476288868806
31450.09880341749,5886.811932256691,-11426.626308758881,2965.7653312901143,-15729.39525617201,-20.531923721331996,161.82989698085078
24411.58528082646,4282.338638567926,-17202.013225059927,1660.5058201085028,-21831.3194105013,-20.389537303704195,262.08047325163767
45422.271678382334,4753.794079873737,-14612.360160167364,-736.7844879402554,-19658.546024615272,-20.51512167728019,163.14672623339624
33806.596200803295,3765.0969857631817,-11693.820678103148,1069.8845898527597,-16283.936870967495,-20.670194164766464,148.48995786700772
31171.637296138302,10855.331223275196,-21768.22719091343,8500.51708673013,-27209.936552521667,-21.21388948969888,314.9373232432639
35463.26805058041,511.75002748934736,-10624.523012794201,-3267.740550648279,-15146.921163122293,-20.84218991306526,128.22051570152323
40749.313031101934,5966.646466192091,-14273.061430549118,2692.1873831604807,-19256.065712231888,-20.598399143738636,172.31964692928798
36360.28311001918,2652.584664556026,-15514.41606716747,-1560.502523176758,-21848.96750100409,-20.47514764040838,187.26337351539735
35258.80318714646,2564.6687267946772,-6966.818104318246,-1435.1635149995698,-10535.71473668742,-20.664528071054264,87.71948779278684
35506.8247128764,7169.379594438416,-5341.84263689634,4395.120704979118,-8392.681370270147,-21.019935963505116,107.71169464396627
39323.07037902669,1584.8632014594843,2053.471501279559,-3250.049988017038,565.9041525440342,-20.50469650619806,30.088542824793272
37844.59150293679,1317.090134948315,3775.902504176584,-3507.317038148619,2733.145136493312,-20.13033181598202,47.83058386073456
31647.17599730905,6857.6496202607705,-13554.304817656066,4066.70010030176,-18119.480708897165,-21.000169221593715,192.54010524197295
31302.665561196405,2796.6629335569087,-14860.645986630881,-223.68563852061402,-19379.88935607521,-20.64601511174766,193.38456474065794
39951.837248236996,3899.4460009710565,-5567.528790002134,-179.0498863966827,-8907.379524700444,-20.23279129812766,75.37708421181539
35152.451735301125,8071.90441459409,-10136.424726345429,5260.93856256963,-14247.806922898257,-20.70640677796242,156.04455974366886
34100.627314967685,625.5082072270317,-12480.300644274348,-3023.0167830407768,-17309.80057243567,-20.63820217574955,153.52140352448828
40197.53390680751,36.315132627081454,-7873.23598968792,-4408.257713935652,-11771.682151999825,-21.100764483275917,87.61109746269398
30670.431690976733,3850.2790457320357,-12034.42692279209,1418.7429230824082,-16138.619132902657,-20.971112759302706,158.90317874851758
33644.32912655125,2417.804576622079,-12129.749738457082,-896.5249321361075,-16546.153035742354,-20.40699574007266,150.65473468942375
